TV Show Name,Punchline,Updated By
friends,Joey doesn't share food,Raihan
friends,Unagi,Raihan
friends,WE WERE ON A BREAK,Raihan
friends,How you doin'?,Raihan
friends,Could I BE wearing any more clothes?!,Raihan
friends,I’m not great at the advice. Can I interest you in a sarcastic comment?,Raihan
friends,I’m Chandler. I make jokes when I’m uncomfortable.,Raihan
friends,Pivot!,Raihan
friends,"I grew up with Monica. If you didn’t eat fast, you didn’t eat.",Raihan
friends,"Oh, I wish I could, but I don’t want to.",Raihan
friends,They don’t know that we know they know we know.,Raihan
friends,"No uterus, no opinion.",Raihan
friends,Welcome to the real world. It sucks. You’re gonna love it.,Raihan
friends,OH MY GOD.,Raihan
friends,I’m fine. Totally fine.,Raihan
friends,"Come on, Ross, you’re a paleontologist. Dig a little deeper.",Raihan
friends,I KNOW!,Raihan
friends,"Just so you know, it’s not that common, it doesn’t happen to every guy, and it is a big deal!",Raihan
friends,"Isn’t that just kick-you-in-the-crotch, spit-on-your-neck fantastic?",Raihan
friends,You don’t own a TV? What’s all your furniture pointed at?,Sanjana
friends,THAT'S NOT EVEN A WORD!!,Raihan
friends,No more falafel for you!,Sanjana
friends,Something is wrong with the left phalange.,Sanjana
friends,Princess Consuela Banana Hammock,Sanjana
friends,You can’t just give up! Is that what a dinosaur would do?,Sanjana
friends,Don't you put words in people’s mouths! You put turkey in people’s mouths.,Sanjana
friends,"If he doesn’t like you this is all a moo point. Yeah, it’s like a cow’s opinion. It just doesn’t matter. It’s moo.",Sanjana
friends,"I need you to be careful and efficient. And remember: If I am harsh with you, it’s only because you’re doing it wrong. ",Sanjana
friends,It hurts my Joey’s apple!,Sanjana
friends,Welcome to the real world. It sucks. You’re gonna love it.,Sanjana
friends,"I had a very long, hard day.",Sanjana
b99,"Cool, cool, cool, cool, cool. No doubt, no doubt, no doubt.",Raihan
b99,You’re under arrest for ruining something perfect!,Raihan
b99,"Sarge, with all due respect, I am gonna completely ignore everything you just said.",Raihan
b99,"I asked them if they wanted to embarrass you, and they instantly said yes.",Raihan
b99,"The English language cannot fully capture the depth and complexity of my thoughts, so I’m incorporating emojis into my speech to better express myself. Winky face.",Raihan
b99,Love....  It sustains you. It’s like oatmeal.,Raihan
b99,"Every time you talk, I hear that sound that plays when Pac-Man dies.",Raihan
b99,"Fine, but in protest, I’m walking over there extremely slowly!",Raihan
b99,"Actually, someone reported that they couldn’t find your head. But we found it; it was up your butt. You’re a fireman; you should know how to treat that burn.",Raihan
b99,"If I die, turn my tweets into a book.",Raihan
b99,"Captain Wuntch. Good to see you. But if you’re here, who’s guarding Hades?",Raihan
b99,Anyone over the age of six celebrating a birthday should go to hell.,Raihan
b99,Two steps forward and one step back is still one step forward.,Raihan
b99,"Well done, detectives. That is if you were trying to disappoint me.",Raihan
b99,I’m not going to stand here and listen to you accusing me of things I clearly did.,Raihan
b99,"Jake, why don’t you just do the right thing and jump out of a window?",Raihan
b99,I wasn't hurt that badly. The doctor said all my bleeding was internal. That's where the blood's supposed to be.,Raihan
b99,I just negotiated my baby girls down from a pony to a hamster. Little fools.,Raihan
b99,NINE NINE,Raihan
b99,Noice,Sanjana
rick and morty,Wubba Lubba Dub Dub!,Raihan
rick and morty,Sometimes science is more art than science.,Raihan
rick and morty,"Thanks, Mr. Poopybutthole. I always could count on you.",Raihan
rick and morty,"Excuse me. Coming through. What are you here for? Just kidding, I don’t care.",Raihan
rick and morty,"I’m sorry, but your opinion means very little to me.",Raihan
rick and morty,Nobody exists on purpose. Nobody belongs anywhere. We’re all going to die. Come watch TV.,Raihan
rick and morty,"You gotta do it for Grandpa, Morty. You gotta put these seeds inside your butt.",Raihan
rick and morty,"I'm a scientist; because I invent, transform, create, and destroy for a living, and when I don't like something about the world, I change it.",Raihan
rick and morty,"Honey, stop raising your father's cholesterol so you can take a hot funeral selfie.",Raihan
rick and morty,"What about the reality where Hitler cured cancer, Morty? The answer is: don’t think about it.",Raihan
rick and morty,"I turned myself into a pickle, Morty! I’m Pickle Ri-i-i-ick!",Raihan
rick and morty,Camping is just being homeless without the change.,Raihan
got,Valar Morghulis.,Raihan
got,"All men must die, but we are not men.",Raihan
got,I did warn you not to trust me.,Raihan
got,He was no dragon. Fire cannot kill a dragon.,Raihan
got,"I'm the King, I get what I want. I never loved my brothers. Sad thing for a man to admit, but it's true. You were the brother I chose.",Raihan
got,"I have a tender spot in my heart for cripples, bastards and broken things.",Raihan
got,"Death is so final, whereas life, ahh, life is full of possibilities.",Raihan
got,You served him well. When serving was safe.,Raihan
got,Sansa can keep her sewing needles. I've got a Needle of my own.,Raihan
got,The things I do for love.,Raihan
got,"A man with no motive is a man no one suspects. Always keep your enemies confused. If they don’t know who you are or what you want, they can’t predict your next move.",Raihan
got,"There is only one god and his name is Death, and there is only one thing we say to Death: ‘Not today.’",Raihan
got,Chaos isn’t a pit. Chaos is a ladder.,Raihan
got,I’m not going to stop the wheel. I’m going to break the wheel.,Raihan
got,Fear cuts deeper than swords.,Raihan
got,The lone wolf dies but the pack survives.,Raihan
got,Winter is coming.,Raihan
got,For The Throne.,Raihan
got,What did father used to say? Everything before the word “but” is horse sh*t.,Raihan
got,Leave one wolf alive & the Sheep are never Safe.,Raihan
got,A Wise Man Once Said That You Should Never Believe A Thing Simply Because You Want To Believe It.,Raihan
got,"When you play the game of thrones, you win or you die. There is no middle ground.",Raihan
got,A lion doesn’t concern himself with the opinions of a sheep.,Raihan
got,The night is dark and full of terrors.,Raihan
got,Valar Dohaeris.,Raihan
tbbt,I am the king of the nerds.,Raihan
tbbt,I do wanna fling my poop at her.,Raihan
tbbt,I am a horny engineer; I never joke about math or sex.,Raihan
tbbt,"What up, Shel-Bot?",Raihan
tbbt,It’s a Satunalia miracle.,Raihan
